職稱,姓名,到職,卸任,性別,維基百科條目
行政院/政務委員,郭婉容,1996年02月28日,1997年09月01日,F,郭婉容
行政院/政務委員,林振國,1996年06月10日,1997年09月01日,M,林振國
行政院/政務委員,王昭明,1996年02月28日,1996年06月10日,M,王昭明 (台灣)
行政院/政務委員,塗德錡,1996年06月10日,1997年09月01日,M,塗德錡（頁面不存在）
行政院/政務委員,孫　震,1996年02月28日,1996年06月10日,M,孫震
行政院/政務委員,楊世緘,1996年06月10日,1997年09月01日,M,楊世緘（頁面不存在）
行政院/政務委員,黃石城,1996年02月28日,1996年06月10日,M,黃石城
行政院/政務委員,蔡政文,1996年06月10日,1997年09月01日,M,蔡政文（頁面不存在）
行政院/政務委員,夏漢民,1996年02月28日,1996年06月10日,M,夏漢民（頁面不存在）
行政院/政務委員,葉金鳳,1996年06月10日,1997年05月15日,F,葉金鳳
行政院/政務委員,趙守博,1997年05月15日,1997年09月01日,M,趙守博
行政院/政務委員,張京育,1996年02月28日,1996年06月10日,M,張京育
行政院/政務委員,馬英九,1996年06月10日,1997年05月15日,M,馬英九
行政院/政務委員,蘇　起,1997年05月15日,1997年09月01日,M,蘇起
行政院/政務委員,黃大洲,1997年09月01日,1999年01月27日,M,黃大洲
行政院/政務委員,楊世緘,1997年09月01日,1999年01月27日,M,楊世緘（頁面不存在）
行政院/政務委員,陳健民,1997年09月01日,1999年01月27日,M,陳健民
行政院/政務委員,郭婉容,1997年09月01日,1999年01月27日,F,郭婉容
行政院/政務委員,趙守博,1997年09月01日,1998年12月21日,M,趙守博
行政院/政務委員,林豐正,1997年09月01日,1998年04月01日,M,林豐正
行政院/政務委員,蔡兆陽,1998年04月01日,1999年01月27日,M,蔡兆陽（頁面不存在）
行政院/政務委員,詹火生,1997年09月01日,1998年02月05日,M,詹火生
行政院/政務委員,江丙坤,1998年02月05日,1999年01月27日,M,江丙坤
行政院/政務委員,郭婉容,1999年01月27日,2000年05月20日,F,郭婉容
行政院/政務委員,江丙坤,1999年01月27日,2000年05月20日,M,江丙坤
行政院/政務委員,蔡兆陽,1999年01月27日,2000年05月20日,M,蔡兆陽（頁面不存在）
行政院/政務委員,黃大洲,1999年01月27日,2000年05月20日,M,黃大洲
行政院/政務委員,楊世緘,1999年01月27日,2000年05月20日,M,楊世緘（頁面不存在）
行政院/政務委員,陳健民,1999年01月27日,2000年05月20日,M,陳健民
行政院/政務委員,吳容明,1999年02月01日,1999年08月15日,M,吳容明
行政院/政務委員,鍾榮吉,1999年11月18日,2000年03月08日,M,鍾榮吉
行政院/政務委員,林能白,2000年05月20日,2000年10月06日,M,林能白（頁面不存在）
行政院/政務委員,黃榮村,2000年05月20日,2000年10月06日,M,黃榮村
行政院/政務委員,陳錦煌,2000年05月20日,2000年10月06日,M,陳錦煌
行政院/政務委員,張有惠,2000年05月20日,2000年10月06日,M,張有惠
行政院/政務委員,蔡清彥,2000年05月20日,2000年10月06日,M,蔡清彥
行政院/政務委員,胡錦標,2000年05月20日,2000年10月06日,M,胡錦標（頁面不存在）
行政院/政務委員,蔡清彥,2000年10月06日,2002年02月01日,M,蔡清彥
行政院/政務委員,鍾　琴,2000年10月06日,2002年02月01日,F,鍾琴（頁面不存在）
行政院/政務委員,林能白,2000年10月06日,2002年02月01日,M,林能白（頁面不存在）
行政院/政務委員,黃榮村,2000年10月06日,2002年02月01日,M,黃榮村
行政院/政務委員,陳錦煌,2000年10月06日,2002年02月01日,M,陳錦煌
行政院/政務委員,張有惠,2000年10月06日,2001年04月12日,M,張有惠
行政院/政務委員,許志雄,2001年06月11日,2002年02月01日,M,許志雄（頁面不存在）
行政院/政務委員,胡錦標,2000年10月06日,2001年03月07日,M,胡錦標（頁面不存在）
行政院/政務委員,胡勝正,2001年03月07日,2002年02月01日,M,胡勝正
行政院/政務委員,蔡清彥,2002年02月01日,2004年05月20日,M,蔡清彥
行政院/政務委員,胡勝正,2002年02月01日,2004年05月20日,M,胡勝正
行政院/政務委員,林盛豐,2002年02月01日,2004年05月20日,M,林盛豐（頁面不存在）
行政院/政務委員,郭瑤琪,2002年02月01日,2004年05月20日,F,郭瑤琪
行政院/政務委員,陳其南,2002年02月01日,2004年05月20日,M,陳其南
行政院/政務委員,黃輝珍,2002年02月01日,2003年07月01日,M,黃輝珍
行政院/政務委員,葉國興,2003年07月01日,2004年05月20日,M,葉國興
行政院/政務委員,邱義仁,2002年02月01日,2002年03月15日,M,邱義仁
行政院/政務委員,葉俊榮,2002年05月01日,2004年05月20日,M,葉俊榮
行政院/政務委員,胡勝正,2004年05月20日,2006年07月04日,M,胡勝正
行政院/政務委員,呂桔誠,2006年07月04日,2006年09月01日,M,呂桔誠
行政院/政務委員,胡勝正,2006年10月05日,2007年01月30日,M,胡勝正
行政院/政務委員,林錦昌,2007年07月16日,2008年02月01日,M,林錦昌
行政院/政務委員,劉世芳,2008年02月01日,2008年05月20日,F,劉世芳
行政院/政務委員,傅立葉,2004年05月20日,2006年05月20日,F,傅立葉
行政院/政務委員,林萬億,2006年05月20日,2007年05月21日,M,林萬億
行政院/政務委員,黃輝珍,2007年05月21日,2008年05月20日,M,黃輝珍
行政院/政務委員,林盛豐,2004年05月20日,2006年01月25日,M,林盛豐（頁面不存在）
行政院/政務委員,何美玥,2006年01月25日,2007年05月21日,F,何美玥
行政院/政務委員,劉玉山,2007年05月21日,2008年05月20日,M,劉玉山
行政院/政務委員,郭瑤琪,2004年05月20日,2006年01月25日,F,郭瑤琪
行政院/政務委員,吳豐山,2006年01月25日,2007年05月21日,M,吳豐山
行政院/政務委員,何美玥,2007年06月12日,2008年05月20日,F,何美玥
行政院/政務委員,陳其邁,2004年05月20日,2005年02月01日,M,陳其邁
行政院/政務委員,卓榮泰,2005年02月01日,2005年09月19日,M,卓榮泰
行政院/政務委員,李應元,2005年09月19日,2006年01月25日,M,李應元
行政院/政務委員,吳澤成,2006年01月25日,2008年05月20日,M,吳澤成
行政院/政務委員,林義夫,2004年05月20日,2005年01月31日,M,林義夫
行政院/政務委員,林錫耀,2006年01月25日,2008年05月20日,M,林錫耀
行政院/政務委員,林逢慶,2004年05月20日,2008年05月20日,M,林逢慶（頁面不存在）
行政院/政務委員,蔡勳雄,2008年05月20日,2010年02月24日,M,蔡勳雄
行政院/政務委員,陳添枝,2008年05月20日,2009年09月10日,M,陳添枝
行政院/政務委員,朱雲鵬,2008年05月20日,2009年04月28日,M,朱雲鵬
行政院/政務委員,曾志朗,2008年05月20日,2009年09月10日,M,曾志朗
行政院/政務委員,張進福,2008年05月20日,2009年09月10日,M,張進福
行政院/政務委員,高思博,2008年05月20日,2009年09月10日,M,高思博
行政院/政務委員,范良銹,2008年05月20日,2009年09月10日,M,范良銹
行政院/政務委員,薛承泰,2009年02月16日,2009年09月10日,M,薛承泰
行政院/政務委員,曾志朗,2009年09月10日,2012年02月06日,M,曾志朗
行政院/政務委員,張進福,2009年09月10日,2012年02月06日,M,張進福
行政院/政務委員,高思博,2009年09月10日,2011年02月11日,M,高思博
行政院/政務委員,羅瑩雪,2011年02月09日,2012年02月06日,F,羅瑩雪
行政院/政務委員,范良銹,2009年09月10日,2011年04月01日,M,范良銹
行政院/政務委員,薛承泰,2009年09月10日,2012年02月06日,M,薛承泰
行政院/政務委員,梁啟源,2009年09月10日,2011年03月01日,M,梁啟源
行政院/政務委員,朱敬一,2011年03月01日,2012年02月06日,M,朱敬一
行政院/政務委員,林政則,2009年09月10日,2012年02月06日,M,林政則
行政院/政務委員,尹啟銘,2009年11月16日,2011年11月28日,M,尹啟銘
行政院/政務委員,管中閔,2012年02月06日,2013年02月18日,M,管中閔
行政院/政務委員,薛承泰,2012年02月06日,2013年02月18日,M,薛承泰
行政院/政務委員,張進福,2012年02月06日,2012年05月20日,M,張進福
行政院/政務委員,尹啟銘,2012年05月20日,2013年02月18日,M,尹啟銘
行政院/政務委員,黃光男,2012年02月06日,2013年02月18日,M,黃光男
行政院/政務委員,張善政,2012年02月06日,2013年02月18日,M,張善政
行政院/政務委員,楊秋興,2012年02月06日,2013年02月18日,M,楊秋興
行政院/政務委員,羅瑩雪,2012年02月06日,2013年02月18日,F,羅瑩雪
行政院/政務委員,林政則,2012年02月06日,2013年02月18日,M,林政則
行政院/政務委員,陳振川,2012年02月06日,2013年02月18日,M,陳振川
行政院/政務委員,陳士魁,2013年02月18日,2013年07月31日,M,陳士魁
行政院/政務委員,馮　燕,2013年08月01日,2014年12月08日,F,馮燕 (臺灣人物)（頁面不存在）
行政院/政務委員,管中閔,2013年02月18日,2014年12月08日,M,管中閔
行政院/政務委員,薛　琦,2013年02月18日,2014年03月02日,M,薛琦
行政院/政務委員,黃光男,2013年02月18日,2014年02月28日,M,黃光男
行政院/政務委員,張善政,2013年02月18日,2014年03月02日,M,張善政
行政院/政務委員,楊秋興,2013年02月18日,2014年12月08日,M,楊秋興
行政院/政務委員,羅瑩雪,2013年02月18日,2013年09月29日,F,羅瑩雪
行政院/政務委員,蔡玉玲,2013年10月22日,2014年12月08日,F,蔡玉玲
行政院/政務委員,林政則,2013年02月18日,2014年12月08日,M,林政則
行政院/政務委員,陳振川,2013年02月18日,2013年07月31日,M,陳振川
行政院/政務委員,陳希舜,2013年10月22日,2014年04月24日,M,陳希舜（頁面不存在）
行政院/政務委員,許俊逸,2014年07月02日,2014年12月08日,M,許俊逸（頁面不存在）
行政院/政務委員,馮　燕,2014年12月08日,2016年05月19日,F,馮燕 (臺灣人物)（頁面不存在）
行政院/政務委員,管中閔,2014年12月08日,2015年02月04日,M,管中閔
行政院/政務委員,蔡玉玲,2014年12月08日,2016年05月19日,F,蔡玉玲
行政院/政務委員,林政則,2014年12月08日,2016年05月19日,M,林政則
行政院/政務委員,許俊逸,2014年12月08日,2016年05月19日,M,許俊逸（頁面不存在）
行政院/政務委員,杜紫軍,2014年12月08日,2016年05月19日,M,杜紫軍
行政院/政務委員,葉欣誠,2014年12月08日,2016年05月19日,M,葉欣誠
行政院/政務委員,顏鴻森,2015年02月05日,2016年05月19日,M,顏鴻森
行政院/政務委員,蕭家淇,2015年02月26日,2016年05月19日,M,蕭家淇
行政院/政務委員,施俊吉,2016年5月20日,2016年6月24日,,,施俊吉
行政院/政務委員,林美珠,2016年5月20日,2017年2月7日,,,林美珠
行政院/政務委員,陳添枝,2016年5月20日,2017年9月7日,,,陳添枝
行政院/政務委員,吳宏謀,2016年5月20日,2017年9月7日,,,吳宏謀
行政院/政務委員,張景森,2016年5月20日,2017年9月7日,,,張景森
行政院/政務委員,許璋瑤,2016年5月20日,2017年9月7日,,,許璋瑤
行政院/政務委員,林萬億,2016年5月20日,2017年9月7日,,,林萬億
行政院/政務委員,吳政忠,2016年5月20日,2017年9月7日,,,吳政忠
行政院/政務委員,鄧振中,2016年8月9日,2017年9月7日,,,鄧振中
行政院/政務委員,唐　鳳,2016年10月1日,2017年9月7日,,,唐鳳
行政院/政務委員,陳美伶,2017年9月8日,,,,陳美伶
行政院/政務委員,吳宏謀,2017年9月8日,2017年11月23日,,,吳宏謀
行政院/政務委員,許璋瑤,2017年9月8日,2017年11月6日,,,許璋瑤
行政院/政務委員,吳澤成,2017年11月6日,,,,吳澤成
行政院/政務委員,張景森,2017年9月8日,,,,張景森
行政院/政務委員,林萬億,2017年9月8日,,,,林萬億
行政院/政務委員,吳政忠,2017年9月8日,,,,吳政忠
行政院/政務委員,鄧振中,2017年9月8日,,,,鄧振中
行政院/政務委員,唐　鳳,2017年9月8日,,,,唐鳳
行政院/政務委員,羅秉成,2017年9月20日,,,,羅秉成（頁面不存在）
行政院/政務委員,徐國勇,2017年12月25日,2018年7月15日,,,徐國勇
