職稱,姓名,到職,卸任,性別,維基百科條目
行政院/政務委員,鄭振文,1948年05月31日,1948年07月10日,M,鄭振文（頁面不存在）
行政院/政務委員,雷　震,1948年05月31日,1948年12月22日,M,雷震
行政院/政務委員,董顯光,1948年05月31日,1948年12月22日,M,董顯光
行政院/政務委員,林可璣,1948年07月10日,1948年12月22日,M,林可璣（頁面不存在）
行政院/政務委員,何浩若,1948年10月05日,1948年12月22日,M,何浩若
行政院/政務委員,劉靜遠,1948年07月10日,1948年12月22日,M,劉靜遠（頁面不存在）
行政院/政務委員,王　徵,1948年06月15日,1948年10月05日,M,王徵
行政院/政務委員,楊永浚,1948年05月31日,1948年07月10日,M,楊永浚（頁面不存在）
行政院/政務委員,張　群,1948年12月22日,1949年03月21日,M,張群
行政院/政務委員,翁文灝,1948年12月22日,1949年03月21日,M,翁文灝
行政院/政務委員,張治中,1948年12月22日,1949年03月21日,M,張治中
行政院/政務委員,陳立夫,1948年12月22日,1949年03月21日,M,陳立夫
行政院/政務委員,朱家驊,1948年12月22日,1949年03月21日,M,朱家驊
行政院/政務委員,張厲生,1948年12月22日,1949年03月21日,M,張厲生
行政院/政務委員,林可璣,1948年12月25日,1949年03月21日,M,林可璣（頁面不存在）
行政院/政務委員,張　群,1949年03月21日,1949年06月12日,M,張群
行政院/政務委員,莫德惠,1949年03月21日,1949年06月12日,M,莫德惠
行政院/政務委員,張治中,1949年03月21日,1949年06月12日,M,張治中
行政院/政務委員,朱家驊,1949年03月21日,1949年06月12日,M,朱家驊
行政院/政務委員,賀耀祖,1949年03月21日,1949年06月12日,M,賀耀祖
行政院/政務委員,黃少谷,1949年06月12日,1950年03月10日,M,黃少谷
行政院/政務委員,萬鴻圖,1949年06月12日,1950年03月10日,M,萬鴻圖
行政院/政務委員,劉航琛,1950年01月27日,1950年03月10日,M,劉航琛
行政院/政務委員,張　群,1949年06月12日,1950年03月10日,M,張群
行政院/政務委員,吳鐵城,1949年06月12日,1950年03月10日,M,吳鐵城
行政院/政務委員,陳立夫,1949年06月12日,1950年03月10日,M,陳立夫
行政院/政務委員,徐永昌,1949年06月12日,1950年01月27日,M,徐永昌
行政院/政務委員,蔡培火,1950年03月12日,1954年06月01日,M,蔡培火
行政院/政務委員,董文琦,1950年03月12日,1954年06月01日,M,董文琦
行政院/政務委員,吳國楨,1950年03月12日,1954年03月17日,M,吳國楨
行政院/政務委員,王師曾,1950年03月12日,1954年01月23日,M,王師曾 (涪陵)
行政院/政務委員,黃季陸,1950年03月12日,1952年04月17日,M,黃季陸
行政院/政務委員,余井塘,1952年04月17日,1954年06月01日,M,余井塘
行政院/政務委員,田炯錦,1950年03月12日,1951年02月22日,M,田炯錦
行政院/政務委員,黃少谷,1951年03月07日,1954年06月01日,M,黃少谷
行政院/政務委員,楊毓滋,1950年03月12日,1950年10月10日,M,楊毓滋
行政院/政務委員,蔣勻田,1950年11月27日,1954年06月01日,M,蔣勻田
行政院/政務委員,蔡培火,1954年06月01日,1958年07月15日,M,蔡培火
行政院/政務委員,孟昭瓚,1954年06月01日,1958年07月15日,M,孟昭瓚（頁面不存在）
行政院/政務委員,余井塘,1954年06月01日,1958年07月15日,M,余井塘
行政院/政務委員,黃季陸,1954年06月01日,1958年07月15日,M,黃季陸
行政院/政務委員,田炯錦,1954年06月01日,1958年03月19日,M,田炯錦
行政院/政務委員,嚴家淦,1957年08月08日,1958年03月19日,M,嚴家淦
行政院/政務委員,薛　岳,1958年07月15日,1963年12月16日,M,薛岳
行政院/政務委員,余井塘,1958年07月15日,1963年12月16日,M,余井塘
行政院/政務委員,蔡培火,1958年07月15日,1963年12月16日,M,蔡培火
行政院/政務委員,蔣經國,1958年07月15日,1963年12月16日,M,蔣經國
行政院/政務委員,葉公超,1961年11月18日,1963年12月16日,M,葉公超
行政院/政務委員,王世傑,1958年07月15日,1962年05月19日,M,王世傑
行政院/政務委員,董文琦,1963年12月16日,1972年06月01日,M,董文琦
行政院/政務委員,葉公超,1963年12月16日,1972年06月01日,M,葉公超
行政院/政務委員,陳雪屏,1963年12月16日,1972年06月01日,M,陳雪屏
行政院/政務委員,蔣經國,1963年12月16日,1965年01月13日,M,蔣經國
行政院/政務委員,田炯錦,1963年12月16日,1970年07月15日,M,田炯錦
行政院/政務委員,賀衷寒,1963年12月16日,1970年07月15日,M,賀衷寒
行政院/政務委員,蔡培火,1963年12月16日,1966年06月01日,M,蔡培火
行政院/政務委員,連震東,1966年06月01日,1972年06月01日,M,連震東
行政院/政務委員,俞大維,1965年01月13日,1966年06月01日,M,俞大維
行政院/政務委員,徐柏園,1966年06月01日,1969年04月29日,M,徐柏園
行政院/政務委員,俞國華,1969年07月01日,1972年06月01日,M,俞國華
行政院/政務委員,俞國華,1972年06月01日,1978年06月01日,M,俞國華
行政院/政務委員,李登輝,1972年06月01日,1978年06月01日,M,李登輝
行政院/政務委員,葉公超,1972年06月01日,1978年06月01日,M,葉公超
行政院/政務委員,周書楷,1972年06月01日,1978年01月05日,M,周書楷
行政院/政務委員,陳奇祿,1978年01月05日,1978年06月01日,M,陳奇祿
行政院/政務委員,郭　澄,1972年06月01日,1976年06月01日,M,郭澄
行政院/政務委員,李國鼎,1976年06月01日,1978年06月01日,M,李國鼎
行政院/政務委員,高玉樹,1976年06月01日,1978年06月01日,M,高玉樹
行政院/政務委員,邱創煥,1976年06月01日,1978年06月01日,M,邱創煥
行政院/政務委員,周宏濤,1978年06月01日,1984年06月01日,M,周宏濤
行政院/政務委員,張豐緒,1978年06月01日,1984年06月01日,M,張豐緒
行政院/政務委員,俞國華,1978年06月01日,1984年06月01日,M,俞國華
行政院/政務委員,李國鼎,1978年06月01日,1984年06月01日,M,李國鼎
行政院/政務委員,高玉樹,1978年06月01日,1984年06月01日,M,高玉樹
行政院/政務委員,陳奇祿,1978年06月01日,1981年12月01日,M,陳奇祿
行政院/政務委員,林金生,1981年12月01日,1984年06月01日,M,林金生
行政院/政務委員,費　驊,1978年06月01日,1984年02月29日,M,費驊
行政院/政務委員,高玉樹,1984年06月01日,1989年06月01日,M,高玉樹
行政院/政務委員,張豐緒,1984年06月01日,1989年06月01日,M,張豐緒
行政院/政務委員,周宏濤,1984年06月01日,1989年06月01日,M,周宏濤
行政院/政務委員,趙耀東,1984年06月01日,1988年07月22日,M,趙耀東
行政院/政務委員,沈君山,1988年07月22日,1989年06月01日,M,沈君山
行政院/政務委員,李國鼎,1984年06月01日,1988年07月22日,M,李國鼎
行政院/政務委員,王友釗,1988年07月22日,1989年06月01日,M,王友釗（頁面不存在）
行政院/政務委員,馬紀壯,1984年06月01日,1986年01月10日,M,馬紀壯
行政院/政務委員,蕭天讚,1986年07月01日,1988年07月22日,M,蕭天讚
行政院/政務委員,黃昆輝,1988年07月22日,1989年06月01日,M,黃昆輝
行政院/政務委員,郭為藩,1984年06月01日,1988年07月26日,M,郭為藩
行政院/政務委員,錢　復,1988年08月01日,1989年06月01日,M,錢復
行政院/政務委員,張豐緒,1989年06月01日,1990年06月01日,M,張豐緒
行政院/政務委員,周宏濤,1989年06月01日,1990年06月01日,M,周宏濤
行政院/政務委員,錢復,1989年06月01日,1990年06月01日,M,錢復
行政院/政務委員,王友釗,1989年06月01日,1990年06月01日,M,王友釗（頁面不存在）
行政院/政務委員,黃昆輝,1989年06月01日,1990年06月01日,M,黃昆輝
行政院/政務委員,郭南宏,1989年06月01日,1990年06月01日,M,郭南宏
行政院/政務委員,張劍寒,1989年06月01日,1990年06月01日,M,張劍寒
行政院/政務委員,王昭明,1990年06月01日,1993年02月27日,M,王昭明
行政院/政務委員,郭婉容,1990年06月01日,1993年02月27日,F,郭婉容
行政院/政務委員,吳伯雄,1990年06月01日,1991年06月01日,M,吳伯雄
行政院/政務委員,吳伯雄,1991年06月01日,1993年02月27日,M,吳伯雄
行政院/政務委員,黃石城,1990年06月01日,1993年02月27日,M,黃石城
行政院/政務委員,黃昆輝,1990年06月01日,1993年02月27日,M,黃昆輝
行政院/政務委員,郭南宏,1990年06月01日,1993年02月27日,M,郭南宏
行政院/政務委員,張劍寒,1990年06月01日,1992年06月05日,M,張劍寒
行政院/政務委員,李模,1992年10月01日,1993年02月27日,M,李模
行政院/政務委員,郭婉容,1993年02月27日,1996年02月28日,F,郭婉容
行政院/政務委員,王昭明,1993年02月27日,1996年02月28日,M,王昭明
行政院/政務委員,黃石城,1993年02月27日,1996年02月28日,M,黃石城
行政院/政務委員,夏漢民,1993年02月27日,1996年02月28日,M,夏漢民（頁面不存在）
行政院/政務委員,蕭萬長,1993年02月27日,1995年12月01日,M,蕭萬長
行政院/政務委員,黃昆輝,1993年02月27日,1994年12月15日,M,黃昆輝
行政院/政務委員,孫震,1994年12月15日,1996年02月28日,M,孫震
行政院/政務委員,丘宏達,1993年02月27日,1994年02月25日,M,丘宏達
行政院/政務委員,張京育,1994年03月14日,1996年02月28日,M,張京育
